date,close
2019/9/8,64.07
2019/9/15,64.85
2019/9/22,65.55
2019/9/29,66.43
2019/10/6,65.11
2019/10/13,63.98
2019/10/20,63.54
2019/10/27,63.72
2019/11/3,67.21
2019/11/10,70.1
2019/11/17,74.12
2019/11/24,79.45
2019/12/1,78.75
2019/12/8,79.89
2019/12/15,77.35
2019/12/22,79.1
2019/12/29,79.54
2020/1/5,79.62
2020/1/12,79.97
2020/1/19,80.06
2020/1/26,77.79
2020/2/2,80.67
2020/2/9,80.67
2020/2/16,72.72
2020/2/23,72.46
2020/3/1,74.2
2020/3/8,71.41
2020/3/15,70.18
2020/3/22,70.62
2020/3/29,65.2
2020/4/5,61.88
2020/4/12,61.27
2020/4/19,61.18
2020/4/26,64.59
2020/5/3,66.25
2020/5/10,64.5
2020/5/17,67.3
2020/5/24,66.6
2020/5/31,67.39
2020/6/7,64.33
2020/6/14,66.25
2020/6/21,68.61
2020/6/28,68.17
2020/7/5,68.87
2020/7/12,72.98
2020/7/19,74.55
2020/7/26,74.12
2020/8/2,76.91
2020/8/9,73.52
2020/8/16,72.05
2020/8/23,71.95
2020/8/30,73.88
2020/9/6,71.86
2020/9/13,71.22
2020/9/20,70.67
2020/9/27,72.14
2020/10/4,71.31
2020/10/11,68.28
2020/10/18,71.13
2020/10/25,71.68
2020/11/1,72.23
2020/11/8,74.16
2020/11/15,71.22
2020/11/22,73.24
2020/11/29,74.8
2020/12/6,75.81
2020/12/13,75.91
2020/12/20,76.18
2020/12/27,80.5
2021/1/3,80.59
2021/1/10,84.36
2021/1/17,84.54
2021/1/24,99.25
2021/1/31,106.14
2021/2/7,111.65
2021/2/14,102.46
2021/2/21,104.3
2021/2/28,101.08
2021/3/7,102.92
2021/3/14,105.68
2021/3/21,110.27
2021/3/28,113.49
2021/4/4,116.25
2021/4/11,111.65
2021/4/18,110.27
2021/4/25,113.49
2021/5/2,109.36
2021/5/9,106.6
2021/5/16,107.98
2021/5/23,96.03
2021/5/30,100.63
2021/6/6,102
2021/6/13,102.92
2021/6/20,104.3
2021/6/27,102.46
2021/7/4,103.84
2021/7/11,102.46
2021/7/18,104.76
2021/7/25,109.81
2021/8/1,105.29
2021/8/8,104.81
2021/8/15,107.19
2021/8/22,103.86
2021/8/29,99.57
2021/9/5,102.91
2021/9/12,107.19
2021/9/19,102.91
2021/9/26,103.38
2021/10/3,102.43
2021/10/10,98.14
2021/10/17,102.91
2021/10/24,104.33
2021/10/31,102.43
2021/11/7,101.95
2021/11/14,103.86
2021/11/21,103.86
2021/11/28,101.48
2021/12/5,98.62
2021/12/12,100.05
2021/12/19,100.05
2021/12/26,98.62
2022/1/2,99.09
2022/1/9,99.09
2022/1/16,101.48
2022/1/23,98.62
2022/1/30,97.19
2022/2/6,97.19
2022/2/13,101
2022/2/20,100.52
2022/2/27,98.14
2022/3/6,100.05
2022/3/13,98.62
2022/3/20,101
2022/3/27,101
2022/4/3,99.57
2022/4/10,98.14
2022/4/17,98.14
2022/4/24,98.62
2022/5/1,97.19
2022/5/8,99.09
2022/5/15,99.09
2022/5/22,101.95
2022/5/29,104.81
2022/6/5,108.62
2022/6/12,108.62
2022/6/19,104.33
2022/6/26,104.81
2022/7/3,101
2022/7/10,102
2022/7/17,105
2022/7/24,106
2022/7/31,109
2022/8/7,108
2022/8/14,112.5
2022/8/21,111
