date,close,,,,,,,,,,
2019/9/8,236.91,,,,,,,,,,
2019/9/15,241.57,,,,,,,,,,
2019/9/22,245.77,,,,,,,,,,
2019/9/29,244.83,,,,,,,,,,
2019/10/6,248.09,,,,,,,,,,
2019/10/13,255.61,,,,,,,,,,
2019/10/20,259.84,,,,,,,,,,
2019/10/27,265.01,,,,,,,,,,
2019/11/3,275.34,,,,,,,,,,
2019/11/10,275.81,,,,,,,,,,
2019/11/17,280.98,,,,,,,,,,
2019/11/24,287.09,,,,,,,,,,
2019/12/1,288.5,,,,,,,,,,
2019/12/8,290.38,,,,,,,,,,
2019/12/15,286.62,,,,,,,,,,
2019/12/22,294.14,,,,,,,,,,
2019/12/29,318.57,,,,,,,,,,
2020/1/5,311.44,,,,,,,,,,
2020/1/12,319.95,,,,,,,,,,
2020/1/19,321.37,,,,,,,,,,
2020/1/26,321.37,,,,,,,,,,
2020/2/2,315.22,,,,,,,,,,
2020/2/9,315.22,,,,,,,,,,
2020/2/16,302.92,,,,,,,,,,
2020/2/23,310.49,,,,,,,,,,
2020/3/1,317.12,,,,,,,,,,
2020/3/8,307.65,,,,,,,,,,
2020/3/15,299.13,,,,,,,,,,
2020/3/22,298.18,,,,,,,,,,
2020/3/29,274.52,,,,,,,,,,
2020/4/5,258.07,,,,,,,,,,
2020/4/12,260.93,,,,,,,,,,
2020/4/19,259.5,,,,,,,,,,
2020/4/26,267.15,,,,,,,,,,
2020/5/3,292.95,,,,,,,,,,
2020/5/10,281.01,,,,,,,,,,
2020/5/17,291.04,,,,,,,,,,
2020/5/24,284.35,,,,,,,,,,
2020/5/31,284.83,,,,,,,,,,
2020/6/7,279.09,,,,,,,,,,
2020/6/14,279.09,,,,,,,,,,
2020/6/21,297.73,,,,,,,,,,
2020/6/28,302.03,,,,,,,,,,
2020/7/5,303,,,,,,,,,,
2020/7/12,305.89,,,,,,,,,,
2020/7/19,317.46,,,,,,,,,,
2020/7/26,335.76,,,,,,,,,,
2020/8/2,353.59,,,,,,,,,,
2020/8/9,371.89,,,,,,,,,,
2020/8/16,409.95,,,,,,,,,,
2020/8/23,417.17,,,,,,,,,,
2020/8/30,411.39,,,,,,,,,,
2020/9/6,408.98,,,,,,,,,,
2020/9/13,419.1,,,,,,,,,,
2020/9/20,413.32,,,,,,,,,,
2020/9/27,420.55,,,,,,,,,,
2020/10/4,430.12,,,,,,,,,,
2020/10/11,410.74,,,,,,,,,,
2020/10/18,419.46,,,,,,,,,,
2020/10/25,438.84,,,,,,,,,,
2020/11/1,434.96,,,,,,,,,,
2020/11/8,437.87,,,,,,,,,,
2020/11/15,418.49,,,,,,,,,,
2020/11/22,438.35,,,,,,,,,,
2020/11/29,447.56,,,,,,,,,,
2020/12/6,472.74,,,,,,,,,,
2020/12/13,473.71,,,,,,,,,,
2020/12/20,487.27,,,,,,,,,,
2020/12/27,499.87,,,,,,,,,,
2021/1/3,495.99,,,,,,,,,,
2021/1/10,496.97,,,,,,,,,,
2021/1/17,515.44,,,,,,,,,,
2021/1/24,564.07,,,,,,,,,,
2021/1/31,584.49,,,,,,,,,,
2021/2/7,631.18,,,,,,,,,,
2021/2/14,574.77,,,,,,,,,,
2021/2/21,614.64,,,,,,,,,,
2021/2/28,634.09,,,,,,,,,,
2021/3/7,589.36,,,,,,,,,,
2021/3/14,584.49,,,,,,,,,,
2021/3/21,597.14,,,,,,,,,,
2021/3/28,576.65,,,,,,,,,,
2021/4/4,575.67,,,,,,,,,,
2021/4/11,587.38,,,,,,,,,,
2021/4/18,595.19,,,,,,,,,,
2021/4/25,595.19,,,,,,,,,,
2021/5/2,587.38,,,,,,,,,,
2021/5/9,585.43,,,,,,,,,,
2021/5/16,584.46,,,,,,,,,,
2021/5/23,543.48,,,,,,,,,,
2021/5/30,559.09,,,,,,,,,,
2021/6/6,575.67,,,,,,,,,,
2021/6/13,580.55,,,,,,,,,,
2021/6/20,587.38,,,,,,,,,,
2021/6/27,590.31,,,,,,,,,,
2021/7/4,578.56,,,,,,,,,,
2021/7/11,575.63,,,,,,,,,,
2021/7/18,571.71,,,,,,,,,,
2021/7/25,576.6,,,,,,,,,,
2021/8/1,572.69,,,,,,,,,,
2021/8/8,567.79,,,,,,,,,,
2021/8/15,578.56,,,,,,,,,,
2021/8/22,568.77,,,,,,,,,,
2021/8/29,540.38,,,,,,,,,,
2021/9/5,586.39,,,,,,,,,,
2021/9/12,606.95,,,,,,,,,,
2021/9/19,608.91,,,,,,,,,,
2021/9/26,590.29,,,,,,,,,,
2021/10/3,588.32,,,,,,,,,,
2021/10/10,564.71,,,,,,,,,,
2021/10/17,565.7,,,,,,,,,,
2021/10/24,590.29,,,,,,,,,,
2021/10/31,590.29,,,,,,,,,,
2021/11/7,580.45,,,,,,,,,,
2021/11/14,590.29,,,,,,,,,,
2021/11/21,594.23,,,,,,,,,,
2021/11/28,608,,,,,,,,,,
2021/12/5,586.36,,,,,,,,,,
2021/12/12,598.16,,,,,,,,,,
2021/12/19,595.21,,,,,,,,,,
2021/12/26,600.18,,,,,,,,,,
2022/1/2,597.21,,,,,,,,,,
2022/1/9,608.09,,,,,,,,,,
2022/1/16,626.87,,,,,,,,,,
2022/1/23,664.45,,,,,,,,,,
