date,close,,,,,,,,,,,,,,,,,,,,,
2019/9/8,28.53,,,,,,,,,,,,,,,,,,,,,
2019/9/15,28.72,,,,,,,,,,,,,,,,,,,,,
2019/9/22,29.76,,,,,,,,,,,,,,,,,,,,,
2019/9/29,29.91,,,,,,,,,,,,,,,,,,,,,
2019/10/6,30.02,,,,,,,,,,,,,,,,,,,,,
2019/10/13,29.61,,,,,,,,,,,,,,,,,,,,,
2019/10/20,29.05,,,,,,,,,,,,,,,,,,,,,
2019/10/27,29.5,,,,,,,,,,,,,,,,,,,,,
2019/11/3,30.58,,,,,,,,,,,,,,,,,,,,,
2019/11/10,30.51,,,,,,,,,,,,,,,,,,,,,
2019/11/17,30.29,,,,,,,,,,,,,,,,,,,,,
2019/11/24,30.55,,,,,,,,,,,,,,,,,,,,,
2019/12/1,31.14,,,,,,,,,,,,,,,,,,,,,
2019/12/8,31.44,,,,,,,,,,,,,,,,,,,,,
2019/12/15,30.92,,,,,,,,,,,,,,,,,,,,,
2019/12/22,31.18,,,,,,,,,,,,,,,,,,,,,
2019/12/29,31.78,,,,,,,,,,,,,,,,,,,,,
2020/1/5,32.08,,,,,,,,,,,,,,,,,,,,,
2020/1/12,32.3,,,,,,,,,,,,,,,,,,,,,
2020/1/19,32.83,,,,,,,,,,,,,,,,,,,,,
2020/1/26,32.49,,,,,,,,,,,,,,,,,,,,,
2020/2/2,33.53,,,,,,,,,,,,,,,,,,,,,
2020/2/9,33.57,,,,,,,,,,,,,,,,,,,,,
2020/2/16,31.41,,,,,,,,,,,,,,,,,,,,,
2020/2/23,31.74,,,,,,,,,,,,,,,,,,,,,
2020/3/1,32.26,,,,,,,,,,,,,,,,,,,,,
2020/3/8,32.3,,,,,,,,,,,,,,,,,,,,,
2020/3/15,31.56,,,,,,,,,,,,,,,,,,,,,
2020/3/22,32,,,,,,,,,,,,,,,,,,,,,
2020/3/29,30.06,,,,,,,,,,,,,,,,,,,,,
2020/4/5,27.6,,,,,,,,,,,,,,,,,,,,,
2020/4/12,29.09,,,,,,,,,,,,,,,,,,,,,
2020/4/19,29.13,,,,,,,,,,,,,,,,,,,,,
2020/4/26,30.62,,,,,,,,,,,,,,,,,,,,,
2020/5/3,31.37,,,,,,,,,,,,,,,,,,,,,
2020/5/10,31.37,,,,,,,,,,,,,,,,,,,,,
2020/5/17,32.26,,,,,,,,,,,,,,,,,,,,,
2020/5/24,32.12,,,,,,,,,,,,,,,,,,,,,
2020/5/31,31.59,,,,,,,,,,,,,,,,,,,,,
2020/6/7,31.85,,,,,,,,,,,,,,,,,,,,,
2020/6/14,31.78,,,,,,,,,,,,,,,,,,,,,
2020/6/21,32.6,,,,,,,,,,,,,,,,,,,,,
2020/6/28,32.04,,,,,,,,,,,,,,,,,,,,,
2020/7/5,31.78,,,,,,,,,,,,,,,,,,,,,
2020/7/12,32,,,,,,,,,,,,,,,,,,,,,
2020/7/19,32.83,,,,,,,,,,,,,,,,,,,,,
2020/7/26,33.57,,,,,,,,,,,,,,,,,,,,,
2020/8/2,33.46,,,,,,,,,,,,,,,,,,,,,
2020/8/9,33.61,,,,,,,,,,,,,,,,,,,,,
2020/8/16,33.61,,,,,,,,,,,,,,,,,,,,,
2020/8/23,35.18,,,,,,,,,,,,,,,,,,,,,
2020/8/30,35.52,,,,,,,,,,,,,,,,,,,,,
2020/9/6,36.68,,,,,,,,,,,,,,,,,,,,,
2020/9/13,36.06,,,,,,,,,,,,,,,,,,,,,
2020/9/20,34.98,,,,,,,,,,,,,,,,,,,,,
2020/9/27,35.06,,,,,,,,,,,,,,,,,,,,,
2020/10/4,35.23,,,,,,,,,,,,,,,,,,,,,
2020/10/11,33.61,,,,,,,,,,,,,,,,,,,,,
2020/10/18,34.32,,,,,,,,,,,,,,,,,,,,,
2020/10/25,34.11,,,,,,,,,,,,,,,,,,,,,
2020/11/1,33.4,,,,,,,,,,,,,,,,,,,,,
2020/11/8,33.69,,,,,,,,,,,,,,,,,,,,,
2020/11/15,33.61,,,,,,,,,,,,,,,,,,,,,
2020/11/22,33.86,,,,,,,,,,,,,,,,,,,,,
2020/11/29,35.02,,,,,,,,,,,,,,,,,,,,,
2020/12/6,35.39,,,,,,,,,,,,,,,,,,,,,
2020/12/13,35.89,,,,,,,,,,,,,,,,,,,,,
2020/12/20,36.18,,,,,,,,,,,,,,,,,,,,,
2020/12/27,35.56,,,,,,,,,,,,,,,,,,,,,
2021/1/3,35.6,,,,,,,,,,,,,,,,,,,,,
2021/1/10,35.48,,,,,,,,,,,,,,,,,,,,,
2021/1/17,35.81,,,,,,,,,,,,,,,,,,,,,
2021/1/24,35.6,,,,,,,,,,,,,,,,,,,,,
2021/1/31,34.77,,,,,,,,,,,,,,,,,,,,,
2021/2/7,33.65,,,,,,,,,,,,,,,,,,,,,
2021/2/14,33.28,,,,,,,,,,,,,,,,,,,,,
2021/2/21,33.86,,,,,,,,,,,,,,,,,,,,,
2021/2/28,34.48,,,,,,,,,,,,,,,,,,,,,
2021/3/7,34.81,,,,,,,,,,,,,,,,,,,,,
2021/3/14,35.23,,,,,,,,,,,,,,,,,,,,,
2021/3/21,35.39,,,,,,,,,,,,,,,,,,,,,
2021/3/28,35.39,,,,,,,,,,,,,,,,,,,,,
2021/4/4,38.25,,,,,,,,,,,,,,,,,,,,,
2021/4/11,38.71,,,,,,,,,,,,,,,,,,,,,
2021/4/18,38.71,,,,,,,,,,,,,,,,,,,,,
2021/4/25,40.61,,,,,,,,,,,,,,,,,,,,,
2021/5/2,43.93,,,,,,,,,,,,,,,,,,,,,
2021/5/9,43.18,,,,,,,,,,,,,,,,,,,,,
2021/5/16,43.35,,,,,,,,,,,,,,,,,,,,,
2021/5/23,41.11,,,,,,,,,,,,,,,,,,,,,
2021/5/30,42.44,,,,,,,,,,,,,,,,,,,,,
2021/6/6,41.94,,,,,,,,,,,,,,,,,,,,,
2021/6/13,43.02,,,,,,,,,,,,,,,,,,,,,
2021/6/20,42.6,,,,,,,,,,,,,,,,,,,,,
2021/6/27,42.27,,,,,,,,,,,,,,,,,,,,,
2021/7/4,42.27,,,,,,,,,,,,,,,,,,,,,
2021/7/11,41.86,,,,,,,,,,,,,,,,,,,,,
2021/7/18,43.1,,,,,,,,,,,,,,,,,,,,,
2021/7/25,42.69,,,,,,,,,,,,,,,,,,,,,
2021/8/1,43.93,,,,,,,,,,,,,,,,,,,,,
2021/8/8,43.6,,,,,,,,,,,,,,,,,,,,,
2021/8/15,43.85,,,,,,,,,,,,,,,,,,,,,
2021/8/22,42.93,,,,,,,,,,,,,,,,,,,,,
2021/8/29,40.94,,,,,,,,,,,,,,,,,,,,,
2021/9/5,42.09,,,,,,,,,,,,,,,,,,,,,
2021/9/12,43.02,,,,,,,,,,,,,,,,,,,,,
2021/9/19,43.46,,,,,,,,,,,,,,,,,,,,,
2021/9/26,44.97,,,,,,,,,,,,,,,,,,,,,
2021/10/3,45.5,,,,,,,,,,,,,,,,,,,,,
2021/10/10,44.53,,,,,,,,,,,,,,,,,,,,,
2021/10/17,44.71,,,,,,,,,,,,,,,,,,,,,
2021/10/24,44.44,,,,,,,,,,,,,,,,,,,,,
2021/10/31,43.29,,,,,,,,,,,,,,,,,,,,,
2021/11/7,42.8,,,,,,,,,,,,,,,,,,,,,
2021/11/14,42.71,,,,,,,,,,,,,,,,,,,,,
2021/11/21,43.2,,,,,,,,,,,,,,,,,,,,,
2021/11/28,42.84,,,,,,,,,,,,,,,,,,,,,
2021/12/5,41.25,,,,,,,,,,,,,,,,,,,,,
2021/12/12,41.16,,,,,,,,,,,,,,,,,,,,,
2021/12/19,41.96,,,,,,,,,,,,,,,,,,,,,
2021/12/26,42.09,,,,,,,,,,,,,,,,,,,,,
2022/1/2,42.49,,,,,,,,,,,,,,,,,,,,,
2022/1/9,42.58,,,,,,,,,,,,,,,,,,,,,
2022/1/16,42.09,,,,,,,,,,,,,,,,,,,,,
2022/1/23,42.22,,,,,,,,,,,,,,,,,,,,,
2022/1/30,42.04,,,,,,,,,,,,,,,,,,,,,
2022/2/6,41.56,,,,,,,,,,,,,,,,,,,,,
2022/2/13,42.18,,,,,,,,,,,,,,,,,,,,,
2022/2/20,42.09,,,,,,,,,,,,,,,,,,,,,
2022/2/27,42,,,,,,,,,,,,,,,,,,,,,
2022/3/6,42.27,,,,,,,,,,,,,,,,,,,,,
2022/3/13,42.09,,,,,,,,,,,,,,,,,,,,,
2022/3/20,43.42,,,,,,,,,,,,,,,,,,,,,
2022/3/27,44.08,,,,,,,,,,,,,,,,,,,,,
2022/4/3,44.13,,,,,,,,,,,,,,,,,,,,,
2022/4/10,44.17,,,,,,,,,,,,,,,,,,,,,
2022/4/17,41.78,,,,,,,,,,,,,,,,,,,,,
2022/4/24,41.29,,,,,,,,,,,,,,,,,,,,,
2022/5/1,40.71,,,,,,,,,,,,,,,,,,,,,
2022/5/8,40,,,,,,,,,,,,,,,,,,,,,
2022/5/15,36.9,,,,,,,,,,,,,,,,,,,,,
2022/5/22,36.5,,,,,,,,,,,,,,,,,,,,,
2022/5/29,37.43,,,,,,,,,,,,,,,,,,,,,
2022/6/5,36.99,,,,,,,,,,,,,,,,,,,,,
2022/6/12,36.72,,,,,,,,,,,,,,,,,,,,,
2022/6/19,35.13,,,,,,,,,,,,,,,,,,,,,
2022/6/26,35.04,,,,,,,,,,,,,,,,,,,,,
2022/7/3,35.79,,,,,,,,,,,,,,,,,,,,,
